Molecule,Form,Brand,Manufacturer,2009_Sales,2010_Sales,2011_Sales,2012_Sales,2013_Sales,2014_Sales,2015_Sales
,D DERMATOLOGICALS,OTHER,3M HEALTHCARE,"$4,874,441 ","$6,453,724 ","$6,351,456 ","$7,181,656 ","$6,089,289 ","$4,619,459 ","$1,099,703 "
,D DERMATOLOGICALS,OTHER,AIRKEM,"$5,033 ",$597 ,,,,,
,D DERMATOLOGICALS,OTHER,APLICARE INC,"$6,524 ","$18,157 ","$62,806 ","$20,679 ","$12,327 ","$15,348 ","$5,781 "
,D DERMATOLOGICALS,OTHER,BD ACUTECARE DIV,"$1,982,092 ","$3,736,254 ","$4,159,048 ","$4,673,124 ","$4,644,615 ","$4,270,408 ","$1,076,699 "
,D DERMATOLOGICALS,OTHER,CAREFUSION,"$87,192,522 ","$176,810,766 ","$154,798,866 ","$144,812,739 ","$147,121,112 ","$134,906,823 ","$34,145,496 "
,D DERMATOLOGICALS,OTHER,CARE-TECH LABS,"$276,700 ","$8,413 ","$2,785 ","$1,477 ",,,"$8,116 "
,D DERMATOLOGICALS,OTHER,COVIDIEN,"$5,668 ","$2,774 ",,,,,
,D DERMATOLOGICALS,OTHER,DAVOL,"$296,252 ","$396,255 ","$408,573 ","$253,658 ","$267,707 ","$398,184 ","$66,589 "
,D DERMATOLOGICALS,OTHER,ECOLAB,"$2,923,580 ","$4,095,757 ","$3,273,689 ","$1,971,691 ","$1,515,371 ","$396,505 ","$22,553 "
,D DERMATOLOGICALS,OTHER,ETHICON,,,"$681,020 ","$3,921,001 ","$5,726,595 ","$6,312,334 ","$2,084,336 "
,D DERMATOLOGICALS,OTHER,J&J MEDICAL,"$11,110,479 ","$12,249,115 ","$8,284,740 ","$3,196,122 ","$729,353 ","$333,454 ","$6,370 "
,D DERMATOLOGICALS,OTHER,MEDLINE,"$81,454 ","$139,402 ","$68,328 ","$84,419 ","$101,426 ","$137,697 ","$30,244 "
,D DERMATOLOGICALS,OTHER,MOLNLYCKE HLTH CAR,"$39,085 ","$66,712 ",$114 ,,,,
,D DERMATOLOGICALS,OTHER,ORGANOGENESIS,"$73,518,652 ","$112,843,241 ","$90,926,720 ","$71,693,825 ","$135,668,617 ","$55,478,422 ","$8,885,188 "
,D DERMATOLOGICALS,OTHER,PFIZER,"$836,596 ","$1,079,656 ","$958,354 ","$835,167 ","$653,632 ","$645,425 ","$153,183 "
,D DERMATOLOGICALS,OTHER,STERIS CORP,"$921,321 ","$1,153,838 ","$1,108,157 ","$1,118,236 ","$1,304,732 ","$751,856 ","$129,522 "
,D DERMATOLOGICALS,OTHER,THE MEDICINES CO,"$22,206,821 ","$53,943,185 ","$71,804,561 ","$69,698,212 ","$68,186,376 ","$64,920,520 ","$16,525,070 "
,I INJECTABLES,BRAND,ZIMMER,,,,,"$23,400 ","$2,114,730 ","$1,139,667 "
,I INJECTABLES,BRANDED GENERIC,ETHICON,"$871,463 ","$1,106,163 ","$390,370 ","$179,910 ",,,
,I INJECTABLES,BRANDED GENERIC,VALEANT PHARM,"$14,698,938 ","$32,763,748 ","$39,849,891 ","$38,917,689 ","$8,711,721 ","$891,281 ","$1,668,567 "
,I INJECTABLES,OTHER,B. BRAUN MEDICAL,"$82,986 ","$194,775 ","$276,268 ","$209,997 ","$153,473 ","$184,904 ","$52,728 "
,I INJECTABLES,OTHER,BAXTER CLINTEC NUT,"$9,208,752 ","$8,997,636 ","$13,084,195 ","$16,720,417 ","$4,932,516 ","$10,895,142 ","$4,326,454 "
,I INJECTABLES,OTHER,BAXTER I.V SYS DIV,"$1,914 ",$990 ,"$1,391 ","$1,101 ",$658 ,,
,I INJECTABLES,OTHER,BECTON-DICKINSON,"$2,648,509 ","$4,184,588 ","$3,813,474 ","$4,174,650 ","$3,637,349 ","$3,447,522 ","$928,610 "
,I INJECTABLES,OTHER,CYTOSOL LABORATORI,"$187,058 ","$298,075 ","$269,628 ","$96,105 ","$3,391 ","$15,656 ",
,I INJECTABLES,OTHER,HOSPIRA,"$1,822,223 ","$3,548,132 ","$3,793,921 ","$1,952,537 ","$3,834,075 ","$6,062,957 ","$1,577,639 "
,I INJECTABLES,OTHER,MALLINCKRODT,"$1,000,669 ","$656,063 ","$3,194,820 ","$7,924,168 ","$3,048,404 ","$4,312,468 ","$1,696,116 "
,J INSERTS/IMPLANTS,OTHER,ADVANCED BIOHEALIN,"$1,011,652 ","$4,383,532 ","$12,109,855 ","$16,670,459 ","$1,309,788 ","$1,001,471 ","$286,134 "
,O ORALS,OTHER,AMERIFIT,,,,,"$318,142 ","$1,206,812 ","$484,408 "
,O ORALS,OTHER,LIVING ESSENTIALS,"$4,877 ","$9,041 ","$481,041 ","$36,897 ","$35,963 ","$31,437 ","$6,624 "
,O ORALS,OTHER,MAJOR PHARM,"$1,078 ","$2,109 ",,,,,
,O ORALS,OTHER,PRIVATE LABEL,,,,,"$98,480 ","$349,690 ","$70,995 "
,S OTHER SYSTEMICS,BRANDED GENERIC,BAXTER HYLAND DIV,"$39,984,164 ","$57,684,553 ","$59,831,242 ","$64,059,368 ","$68,850,576 ","$70,750,728 ","$13,257,545 "
,S OTHER SYSTEMICS,OTHER,BAXTER BIOSCIENCE,"$118,216,608 ","$167,571,997 ","$185,703,330 ","$193,587,187 ","$172,182,118 ","$149,444,117 ","$37,846,069 "
,S OTHER SYSTEMICS,OTHER,BAXTER CLINTEC NUT,"$69,949 ","$197,744 ","$168,065 ","$191,533 ","$247,338 ","$290,990 ","$74,652 "
,S OTHER SYSTEMICS,OTHER,CONFLUENT SURGICAL,"$29,418,121 ","$43,385,611 ","$39,341,567 ","$30,886,629 ","$28,299,117 ","$31,275,625 ","$8,261,227 "
,S OTHER SYSTEMICS,OTHER,"CRYOLIFE, INC","$21,180,093 ","$29,914,743 ","$26,777,987 ","$29,441,629 ","$28,898,971 ","$30,514,911 ","$7,634,070 "
,S OTHER SYSTEMICS,OTHER,ETHICON,"$62,318,334 ","$135,625,061 ","$133,494,611 ","$152,226,972 ","$151,690,291 ","$128,586,600 ","$30,367,176 "
,S OTHER SYSTEMICS,OTHER,GENZYME CORP,,,,"$21,437,257 ","$37,925,551 ","$35,114,241 ","$6,924,403 "
,S OTHER SYSTEMICS,OTHER,HOSPIRA,"$4,188,838 ","$4,790,612 ","$2,848,592 ","$2,304,728 ","$527,268 ","$821,911 ","$236,978 "
,S OTHER SYSTEMICS,OTHER,MEDAFOR INC,"$901,950 ","$1,244,466 ","$1,529,544 ","$1,594,583 ","$1,356,891 ",,
,S OTHER SYSTEMICS,OTHER,PFIZER,"$2,397,120 ","$4,508,691 ","$3,624,028 ","$6,117,174 ","$6,433,507 ","$6,994,646 ","$1,890,354 "
,S OTHER SYSTEMICS,OTHER,VASCULAR SOLUTIONS,"$9,642,562 ","$15,227,254 ","$13,534,250 ","$12,864,914 ","$11,168,432 ","$12,077,371 ","$2,953,612 "
,T OTHER TOPICALS,BRANDED GENERIC,GENZYME CORP,,"$56,280,100 ","$92,973,690 ","$91,485,945 ","$92,549,196 ","$91,026,524 ","$21,234,439 "
