Molecule,Form,Type,Product,Strength,2009_Sales,2010_Sales,2011_Sales,2012_Sales,2013_Sales,2014_Sales,2015_Sales
1-PROPANOL,D DERMATOLOGICALS,OTHER,ALCOHOL SWABS,N/A,"$2,311,722 ","$2,133,230 ","$837,895 ","$1,016,693 ","$994,266 ","$961,960 ","$234,939 "
3-METHYLSALICYLIC ACID!CAPSAICIN!MENTHOL,D DERMATOLOGICALS,OTHER,ZIKS,N/A,"$41,709 ","$59,281 ","$60,949 ","$40,710 ","$38,618 ","$35,518 ","$6,713 "
4-HYDROXYBUTYRIC ACID,O ORALS,BRAND,XYREM,500MG/ML,,,,,,$562 ,
7-KETO HYDROANDROSTERONE,Y ALL OTHERS,GENERIC,7-KETO DHEA,100%,"$25,104 ","$42,357 ","$37,992 ","$62,192 ","$40,504 ","$45,794 ","$11,945 "
8-QUINOLINOL,D DERMATOLOGICALS,OTHER,BAG BALM,0.30%,"$214,230 ","$386,476 ","$336,072 ","$304,694 ","$362,309 ","$19,916 ",$12 
8-QUINOLINOL,D DERMATOLOGICALS,OTHER,ELON,N/A,$269 ,"$1,064 ",$849 ,$745 ,$499 ,$517 ,$52 
8-QUINOLINOL,D DERMATOLOGICALS,OTHER,LANTISEPTIC,50%,,,,$235 ,"$116,766 ","$238,645 ","$70,817 "
8-QUINOLINOL,D DERMATOLOGICALS,OTHER,LANTISEPTIC,STR UNSP,"$142,033 ","$309,285 ","$287,262 ","$293,040 ","$174,926 ","$57,958 ","$10,378 "
8-QUINOLINOL!ACETIC ACID,V VAGINALS,BRANDED GENERIC,FEM PH,0.9-0.025%,"$19,170 ","$39,912 ","$56,027 ","$54,795 ","$55,446 ","$378,293 ","$106,558 "
8-QUINOLINOL!ACETIC ACID,V VAGINALS,BRANDED GENERIC,RELAGARD,0.9-0.025%,"$79,861 ","$100,610 ","$16,387 ","$32,487 ","$38,216 ","$58,820 ","$36,237 "
8-QUINOLINOL!ACETIC ACID!BORIC ACID!GLYCEROL!RICINOLEIC ACID,V VAGINALS,GENERIC,ACID JELLY,0.92-0.7%,"$91,187 ","$173,196 ","$157,012 ","$3,189 ",,,
8-QUINOLINOL!BENZOCAINE!ICTHAMMOL!MENTHOL!ZINC,D DERMATOLOGICALS,OTHER,MEDICONE,20%,,,$9 ,$117 ,$93 ,$27 ,
8-QUINOLINOL!BORIC ACID,V VAGINALS,OTHER,TRIMO SAN,0.03%,,,,"$1,383 ","$2,795 ","$4,297 ","$2,555 "
8-QUINOLINOL!BORIC ACID!ZINC,D DERMATOLOGICALS,OTHER,AMMENS MED POWDER,N/A,"$232,728 ","$543,660 ","$591,531 ","$616,045 ","$537,230 ","$513,164 ","$132,596 "
A>-ALANINE,Y ALL OTHERS,GENERIC,L-ALANINE,100%,,,,,"$7,917 ",,
ABACAVIR,O ORALS,GENERIC,ABACAVIR SULF,300MG,,,,"$25,866,048 ","$43,782,578 ","$36,493,939 ","$7,909,370 "
ABACAVIR,O ORALS,BRAND,ZIAGEN,20MG/ML,"$1,048,276 ","$2,206,011 ","$2,311,065 ","$2,478,212 ","$2,424,746 ","$2,347,896 ","$585,789 "
ABACAVIR,O ORALS,BRAND,ZIAGEN,300MG,"$46,809,259 ","$92,832,414 ","$91,598,081 ","$60,279,850 ","$20,562,664 ","$11,948,560 ","$2,095,726 "
ABACAVIR!DOLUTEGRAVIR!LAMIVUDINE,O ORALS,BRANDED GENERIC,TRIUMEQ,600-50-300MG,,,,,,"$62,437,152 ","$122,665,027 "
ABACAVIR!LAMIVUDINE,O ORALS,BRAND,EPZICOM,600-300MG,"$214,026,637 ","$455,254,889 ","$484,648,039 ","$507,672,605 ","$538,655,661 ","$616,312,405 ","$146,995,742 "
ABACAVIR!LAMIVUDINE!ZIDOVUDINE,O ORALS,GENERIC,ABACAV/LAMIVU/ZIDOVU,150-300-300MG,,,,,"$1,910,061 ","$49,462,526 ","$10,980,372 "
ABACAVIR!LAMIVUDINE!ZIDOVUDINE,O ORALS,BRAND,TRIZIVIR,300-150-300MG,"$101,635,199 ","$175,726,314 ","$142,511,271 ","$123,196,546 ","$102,321,721 ","$28,224,737 ","$4,481,317 "
ABATACEPT,I INJECTABLES,BRAND,ORENCIA,125MG/ML,,,"$9,403,305 ","$185,724,756 ","$347,220,348 ","$489,820,784 ","$132,733,489 "
ABATACEPT,I INJECTABLES,BRAND,ORENCIA,250MG,"$252,798,140 ","$561,105,611 ","$629,119,571 ","$620,578,206 ","$607,243,654 ","$612,672,517 ","$167,420,477 "
ABCIXIMAB,I INJECTABLES,BRAND,REOPRO,2MG/ML,"$38,677,728 ","$74,034,718 ","$55,309,060 ","$46,680,818 ","$43,379,178 ","$37,235,961 ","$9,488,047 "
ABIRATERONE ACETATE,O ORALS,BRAND,ZYTIGA,250MG,,,"$179,671,778 ","$470,442,607 ","$793,120,967 ","$1,044,316,432 ","$272,625,294 "
ACACIA,O ORALS,OTHER,HYFIBER,N/A,,,,,"$5,255 ","$8,555 ","$3,019 "
ACACIA,Y ALL OTHERS,GENERIC,ACACIA,N/A,,,,$325 ,$295 ,$70 ,$40 
ACAMPROSATE,O ORALS,GENERIC,ACAMPROSATE CALCIUM,333MG,,,,,"$7,493,228 ","$14,691,514 ","$3,196,206 "
ACAMPROSATE,O ORALS,BRAND,CAMPRAL,333MG,"$13,472,650 ","$25,455,638 ","$24,022,631 ","$21,064,524 ","$15,691,396 ","$2,091,167 ","$160,715 "
ACARBOSE,O ORALS,GENERIC,ACARBOSE,100MG,"$2,648,689 ","$5,091,844 ","$4,433,441 ","$3,849,790 ","$4,180,952 ","$3,367,456 ","$778,455 "
ACARBOSE,O ORALS,GENERIC,ACARBOSE,25MG,"$3,545,022 ","$7,042,379 ","$6,491,779 ","$6,301,693 ","$5,929,391 ","$4,650,839 ","$976,428 "
ACARBOSE,O ORALS,GENERIC,ACARBOSE,50MG,"$4,820,268 ","$9,542,274 ","$8,428,341 ","$7,300,210 ","$7,284,649 ","$5,854,179 ","$1,290,917 "
ACARBOSE,O ORALS,BRAND,PRECOSE,100MG,"$213,323 ","$251,179 ","$216,794 ","$123,954 ","$70,314 ","$47,325 ","$10,931 "
ACARBOSE,O ORALS,BRAND,PRECOSE,25MG,"$319,539 ","$355,253 ","$172,507 ","$133,170 ","$70,198 ","$48,787 ","$9,819 "
ACARBOSE,O ORALS,BRAND,PRECOSE,50MG,"$472,062 ","$536,633 ","$223,946 ","$142,170 ","$100,003 ","$67,737 ","$16,614 "
ACEBUTOLOL,O ORALS,GENERIC,ACEBUTOLOL HCL,200MG,"$1,655,318 ","$3,153,013 ","$3,066,336 ","$2,861,193 ","$2,789,710 ","$2,732,091 ","$734,600 "
ACEBUTOLOL,O ORALS,GENERIC,ACEBUTOLOL HCL,400MG,"$930,829 ","$1,750,819 ","$1,615,495 ","$1,432,888 ","$1,415,953 ","$1,274,978 ","$329,646 "
ACEBUTOLOL,O ORALS,BRAND,SECTRAL,200MG,"$601,201 ","$1,024,654 ","$667,462 ","$469,859 ","$516,493 ","$540,516 ","$115,634 "
ACEBUTOLOL,O ORALS,BRAND,SECTRAL,400MG,"$225,831 ","$377,394 ","$195,132 ","$151,085 ","$152,410 ","$20,582 ","$3,183 "
ACEMANNAN!ALLANTOIN,D DERMATOLOGICALS,BRANDED GENERIC,RADIGEL,N/A,"$6,505 ","$9,419 ","$4,996 ","$1,118 ",,,
ACESULFAME,Y ALL OTHERS,GENERIC,ACESULFAME POT,100%,,,,,,$131 ,$262 
ACETAMINOPHEN,I INJECTABLES,BRANDED GENERIC,OFIRMEV,10MG/ML,,,"$12,184,261 ","$53,056,262 ","$114,520,720 ","$251,683,287 ","$65,300,798 "
